id,latitude,longitude,X1,ID,airportID,airport,Label,country,IATA,ICAO,latitude.y,longitude.y,altitude,timezone,DST,TZ,type,source
AAA,-17.3542,-145.4961,1,AAA,1973,Anaa Airport,Anaa,French Polynesia,AAA,NTGA,-17.35260009765625,-145.50999450683594,10,-10,U,Pacific/Tahiti,airport,OurAirports
AAC,31.0733,33.8358,2,AAC,5690,El Arish International Airport,El Arish,Egypt,AAC,HEAR,31.073299408,33.8358001709,121,2,U,Africa/Cairo,airport,OurAirports
AAE,36.8222,7.8094,3,AAE,220,Rabah Bitat Airport,Annaba,Algeria,AAE,DABB,36.822201,7.809174,16,1,N,Africa/Algiers,airport,OurAirports
AAF,29.7275,-85.0274,4,AAF,8252,Apalachicola Regional Airport,Apalachicola,United States,AAF,KAAF,29.72750092,-85.02749634,20,-5,A,America/New_York,airport,OurAirports
AAG,-24.1036,-49.7900,5,AAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AAL,57.0928,9.8492,6,AAL,628,Aalborg Airport,Aalborg,Denmark,AAL,EKYT,57.0927589138,9.84924316406,10,1,E,Europe/Copenhagen,airport,OurAirports
AAM,-24.8181,31.5446,7,AAM,5605,Malamala Airport,Malamala,South Africa,AAM,FAMD,-24.818099975585938,31.544599533081055,1124,2,U,Africa/Johannesburg,airport,OurAirports
AAN,24.2617,55.6092,8,AAN,5937,Al Ain International Airport,Al Ain,United Arab Emirates,AAN,OMAL,24.261699676513672,55.60919952392578,869,4,U,Asia/Dubai,airport,OurAirports
AAQ,45.0017,37.3483,9,AAQ,4353,Anapa Vityazevo Airport,Anapa,Russia,AAQ,URKA,45.002101898193,37.347301483154,174,3,N,Europe/Moscow,airport,OurAirports
AAR,56.3,10.6190,10,AAR,607,Aarhus Airport,Aarhus,Denmark,AAR,EKAH,56.2999992371,10.619000434899998,82,1,E,Europe/Copenhagen,airport,OurAirports
AAT,47.72,88.1500,11,AAT,6946,Altay Air Base,Altay,China,AAT,ZWAT,47.7498855591,88.08580780030002,2460,8,U,Asia/Shanghai,airport,OurAirports
AAX,-19.5603,-46.9653,12,AAX,7395,Romeu Zema Airport,Araxa,Brazil,AAX,SBAX,-19.563199996948,-46.960399627686,3276,-3,S,America/Sao_Paulo,airport,OurAirports
AAY,16.1917,52.1750,13,AAY,3979,Al Ghaidah International Airport,Al Ghaidah Intl,Yemen,AAY,OYGD,16.191699981689453,52.17499923706055,134,3,U,Asia/Aden,airport,OurAirports
ABA,53.7417,91.3850,14,ABA,2955,Abakan Airport,Abakan,Russia,ABA,UNAA,53.7400016784668,91.38500213623047,831,7,N,Asia/Krasnoyarsk,airport,OurAirports
ABB,6.1978,6.7285,15,ABB,9825,Asaba International Airport,Asaba,Nigeria,ABB,DNAS,6.204167,6.665278,305,1,N,Africa/Lagos,airport,OurAirports
ABC,38.948,-1.8630,16,ABC,1211,Albacete-Los Llanos Airport,Albacete,Spain,ABC,LEAB,38.9485015869,-1.8635200262099998,2302,1,E,Europe/Madrid,airport,OurAirports
ABD,30.3667,48.2333,17,ABD,2097,Abadan Airport,Abadan,Iran,ABD,OIAA,30.371099472,48.2282981873,10,3.5,E,Asia/Tehran,airport,OurAirports
ABE,40.6521,-75.4408,18,ABE,4355,Lehigh Valley International Airport,Allentown,United States,ABE,KABE,40.652099609375,-75.44080352783203,393,-5,A,America/New_York,airport,OurAirports
ABH,-23.6583,146.5917,19,ABH,12011,Alpha Airport,Alpha,Australia,ABH,YAPH,-23.646099,146.584,1255,NA,\N,\N,airport,OurAirports
ABI,32.4113,-99.6819,20,ABI,3718,Abilene Regional Airport,Abilene,United States,ABI,KABI,32.4113006592,-99.68190002440001,1791,-6,A,America/Chicago,airport,OurAirports
ABJ,5.2544,-3.9286,21,ABJ,253,Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ,DIAP,5.261390209197998,-3.9262900352478027,21,0,N,Africa/Abidjan,airport,OurAirports
ABK,6.734,44.2530,22,ABK,5682,Kabri Dehar Airport,Kabri Dehar,Ethiopia,ABK,HAKD,6.734,44.252998,1800,3,U,Africa/Addis_Ababa,airport,OurAirports
ABL,67.1063,-157.8575,23,ABL,7177,Ambler Airport,Ambler,United States,ABL,PAFM,67.1063,-157.856989,334,-9,A,America/Anchorage,airport,OurAirports
ABM,-10.95,142.4600,24,ABM,3318,Northern Peninsula Airport,Amberley,Australia,ABM,YBAM,-10.9508,142.459,34,10,O,Australia/Brisbane,airport,OurAirports
ABQ,35.0402,-106.6092,25,ABQ,4019,Albuquerque International Sunport,Albuquerque,United States,ABQ,KABQ,35.040199,-106.609001,5355,-7,A,America/Denver,airport,OurAirports
ABR,45.449,-98.4218,26,ABR,5714,Aberdeen Regional Airport,Aberdeen,United States,ABR,KABR,45.449100494384766,-98.42179870605469,1302,-6,A,America/Chicago,airport,OurAirports
ABS,22.3758,31.6117,27,ABS,1127,Abu Simbel Airport,Abu Simbel,Egypt,ABS,HEBL,22.375999450699997,31.611700058,616,2,U,Africa/Cairo,airport,OurAirports
ABT,20.2961,41.6342,28,ABT,2061,Al Baha Airport,El-baha,Saudi Arabia,ABT,OEBA,20.2961006165,41.6343002319,5486,3,U,Asia/Riyadh,airport,OurAirports
