Source,Target,airline,country,airline_name
AER,KZN,2B,Portugal,Aerocondor
ASF,KZN,2B,Portugal,Aerocondor
ASF,MRV,2B,Portugal,Aerocondor
CEK,KZN,2B,Portugal,Aerocondor
CEK,OVB,2B,Portugal,Aerocondor
DME,KZN,2B,Portugal,Aerocondor
DME,NBC,2B,Portugal,Aerocondor
DME,TGK,2B,Portugal,Aerocondor
DME,UUA,2B,Portugal,Aerocondor
EGO,KGD,2B,Portugal,Aerocondor
EGO,KZN,2B,Portugal,Aerocondor
GYD,NBC,2B,Portugal,Aerocondor
KGD,EGO,2B,Portugal,Aerocondor
KZN,AER,2B,Portugal,Aerocondor
KZN,ASF,2B,Portugal,Aerocondor
KZN,CEK,2B,Portugal,Aerocondor
KZN,DME,2B,Portugal,Aerocondor
KZN,EGO,2B,Portugal,Aerocondor
KZN,LED,2B,Portugal,Aerocondor
KZN,SVX,2B,Portugal,Aerocondor
LED,KZN,2B,Portugal,Aerocondor
LED,NBC,2B,Portugal,Aerocondor
LED,UUA,2B,Portugal,Aerocondor
MRV,ASF,2B,Portugal,Aerocondor
NBC,DME,2B,Portugal,Aerocondor
NBC,GYD,2B,Portugal,Aerocondor
NBC,LED,2B,Portugal,Aerocondor
NBC,SVX,2B,Portugal,Aerocondor
NJC,SVX,2B,Portugal,Aerocondor
NJC,UUA,2B,Portugal,Aerocondor
NUX,SVX,2B,Portugal,Aerocondor
OVB,CEK,2B,Portugal,Aerocondor
OVB,SVX,2B,Portugal,Aerocondor
SVX,KZN,2B,Portugal,Aerocondor
SVX,NBC,2B,Portugal,Aerocondor
SVX,NJC,2B,Portugal,Aerocondor
SVX,NUX,2B,Portugal,Aerocondor
SVX,OVB,2B,Portugal,Aerocondor
TGK,DME,2B,Portugal,Aerocondor
UUA,DME,2B,Portugal,Aerocondor
UUA,LED,2B,Portugal,Aerocondor
UUA,NJC,2B,Portugal,Aerocondor
BTK,IKT,2G,Italy,Cargoitalia
BTK,IKT,2G,United States,San Juan Airlines
BTK,OVB,2G,Italy,Cargoitalia
BTK,OVB,2G,United States,San Juan Airlines
CEK,OVB,2G,Italy,Cargoitalia
CEK,OVB,2G,United States,San Juan Airlines
HTA,IKT,2G,Italy,Cargoitalia
HTA,IKT,2G,United States,San Juan Airlines
IKT,BTK,2G,Italy,Cargoitalia
IKT,BTK,2G,United States,San Juan Airlines
IKT,HTA,2G,Italy,Cargoitalia
IKT,HTA,2G,United States,San Juan Airlines
IKT,KCK,2G,Italy,Cargoitalia
IKT,KCK,2G,United States,San Juan Airlines
IKT,ODO,2G,Italy,Cargoitalia
IKT,ODO,2G,United States,San Juan Airlines
IKT,OVB,2G,Italy,Cargoitalia
IKT,OVB,2G,United States,San Juan Airlines
IKT,UKX,2G,Italy,Cargoitalia
IKT,UKX,2G,United States,San Juan Airlines
IKT,ULK,2G,Italy,Cargoitalia
IKT,ULK,2G,United States,San Juan Airlines
IKT,YKS,2G,Italy,Cargoitalia
IKT,YKS,2G,United States,San Juan Airlines
KCK,IKT,2G,Italy,Cargoitalia
KCK,IKT,2G,United States,San Juan Airlines
MJZ,OVB,2G,Italy,Cargoitalia
MJZ,OVB,2G,United States,San Juan Airlines
ODO,IKT,2G,Italy,Cargoitalia
ODO,IKT,2G,United States,San Juan Airlines
OVB,BTK,2G,Italy,Cargoitalia
OVB,BTK,2G,United States,San Juan Airlines
OVB,CEK,2G,Italy,Cargoitalia
OVB,CEK,2G,United States,San Juan Airlines
OVB,IKT,2G,Italy,Cargoitalia
OVB,IKT,2G,United States,San Juan Airlines
UKX,IKT,2G,Italy,Cargoitalia
UKX,IKT,2G,United States,San Juan Airlines
ULK,IKT,2G,Italy,Cargoitalia
ULK,IKT,2G,United States,San Juan Airlines
