"","from","to","weight"
"1","10654485","12244004",32
"2","10717600","11249244",5
"3","10717600","11347984",3
"4","10718194","33561006",7
"5","10718194","38235415",10
"6","10718194","12073256",22
"7","10718194","44105293",17
"8","10718194","47649802",4
"9","10718194","38366991",6
"10","10721195","10732853",18
"11","10721195","14958486",5
"12","10721442","14850092",4
"13","10721442","45746262",49
"14","10721442","12196517",4
"15","10721442","10760285",48
"16","10721442","47582444",3
"17","10721442","47696154",7
"18","10721442","11159476",42
"19","10721442","25882307",5
"20","10721442","49252229",34
"21","10721442","12162897",12
"22","10721442","14809195",3
"23","10721442","49697834",7
"24","10721442","32170032",4
"25","10721466","11334262",4
"26","10721466","12084627",5
"27","10721466","49741414",5
"28","10721466","45058304",3
"29","10721466","48923048",6
"30","10721466","49772043",3
"31","10721466","21654678",3
"32","10721466","20203023",3
"33","10721466","33561006",6
"34","10721466","38366991",12
"35","10721466","47649802",8
"36","10721876","10725572",4
"37","10723337","11145839",3
"38","10723423","46887900",21
"39","10723423","14810045",3
"40","10723423","46441985",5
"41","10723423","10749956",3
"42","10723423","41967199",3
"43","10723686","43080947",5
"44","10723687","10731660",14
"45","10723687","12073067",11
"46","10723687","23167688",6
"47","10723687","48014893",8
"48","10724686","20507453",19
"49","10724686","44208154",3
"50","10724686","48722701",3
"51","10724951","10734569",3
"52","10725265","27622346",6
"53","10725265","47867059",3
"54","10725265","47918377",3
"55","10725265","39519373",4
"56","10725572","37746848",4
"57","10725572","39518075",4
"58","10726056","26046444",121
"59","10726056","12244038",4
"60","10726056","12559462",5
"61","10726326","12198620",4
"62","10727222","12060679",11
"63","10727523","23510854",17
"64","10727523","10921607",24
"65","10727523","12162657",28
"66","10727523","10930457",14
"67","10727523","13035974",3
"68","10727523","11168175",6
"69","10727523","39745601",3
"70","10727523","47808924",12
"71","10727523","46875515",3
"72","10727523","19835348",3
"73","10727558","13037236",5
"74","10727581","10729690",55
"75","10727581","49771006",13
"76","10727581","10750591",3
"77","10727581","13035971",3
"78","10727581","44208154",7
"79","10727581","10758875",4
"80","10727581","45923366",3
"81","10727618","39746265",4
"82","10727618","37712609",3
"83","10727618","10913748",3
"84","10727618","11015290",4
"85","10727618","12197964",6
"86","10727618","11099375",7
"87","10727945","10758759",7
"88","10727956","14958414",17
"89","10727976","11253267",6
"90","10727976","24289380",4
"91","10727976","10809947",4
"92","10728437","38335780",5
"93","10728437","11195763",3
"94","10728437","33561006",5
"95","10728437","38366991",6
"96","10728437","47649802",4
"97","10728525","38366991",5
"98","10728525","47649802",4
"99","10729457","49591632",10
"100","10729457","38335780",3
"101","10729457","39780170",5
"102","10729690","49771006",9
"103","10730047","12270614",3
"104","10730047","37510116",3
"105","10730887","49274934",3
"106","10730887","37510116",3
"107","10730887","11249305",3
"108","10731368","11178677",25
"109","10731368","34478365",3
"110","10731368","20249779",8
"111","10731368","12230351",3
"112","10731660","12073067",17
"113","10731660","48014893",9
"114","10732828","19807910",4
"115","10732853","18905419",4
"116","10732853","14958486",6
"117","10732859","12285395",6
"118","10733185","24642925",29
"119","10733185","19131668",14
"120","10733185","47945808",19
"121","10733185","31007285",18
"122","10733185","47683748",7
"123","10733185","29485364",5
"124","10733185","46348037",6
"125","10733185","33534825",7
"126","10733185","49577435",6
"127","10733185","19610494",10
"128","10733185","36878050",6
"129","10733185","10981752",3
"130","10733185","46873379",4
"131","10733886","12073668",29
"132","10733886","14582560",4
"133","10733886","14612800",3
"134","10733886","11012251",5
