"","name","Specialty_Code","hivpat","preppat","herpespat","syphpat","gonorpat","centdegree","centtrans","countIDconnections","cbetween","cclose","ceigen","lukeherpcount","lukehivcount","lukeprepcount","binaryPrep","AIDSVuCountyLevelHIVNewDiagnosesCases","ZIP","RuralUrbanFactor","X2013EstimatesMSM5YEAR","EVIDU","MARHOMO","HOMOSEX","plancount","prepcoverage","ruralsuburban"
"10654485","10654485","FM",0,0,4,0,0,6,0.666666666666667,0,25.4011526493693,1.63689996812628e-08,0.00459515468978345,4,0,0,0,1844,91770,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10717600","10717600","GP",0,0,31,0,0,14,0.450549450549451,0,23672.7340649631,1.62600243253216e-08,0.00399226313338648,31,0,0,0,1844,90603,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10718194","10718194","FM",0,1,5,0,0,25,0.856666666666667,0,20.0219318099805,3.96147352902585e-09,0.00103103307132594,5,0,1,1,198,91786,1,24060,1.263157895,1.473684211,1.947368421,511,511,2
"10721195","10721195","IM",0,0,3,0,0,3,0.333333333333333,0,6915.0211529495,3.06321432569033e-09,1.45325176452774e-05,3,0,0,0,1844,91326,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10721442","10721442","IM",4,0,45,0,0,74,0.188448722695298,0,287322.001904674,1.65540143915304e-08,0.00518978182989422,45,4,0,0,1844,90806,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10721466","10721466","FM",0,1,61,0,0,63,0.469534050179211,0,158224.760385087,1.63873441131359e-08,0.00549673000936215,61,0,1,1,198,91730,1,24060,1.263157895,1.473684211,1.947368421,511,511,2
"10721876","10721876","FM",0,0,5,0,0,2,1,0,0,5.26862408668085e-10,5.240302301717e-07,5,0,0,0,1844,91405,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10723337","10723337","FM",0,0,7,0,0,3,0.666666666666667,0,8871.17698613415,3.06705940444129e-09,1.4194922391463e-05,7,0,0,0,1844,91505,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10723423","10723423","IMG",0,0,49,0,0,47,0.546716003700278,1,13022.7154424539,1.62600483847008e-08,0.00480150585868222,49,0,0,0,1844,90602,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10723686","10723686","FM",2,0,29,0,0,11,0.254545454545455,1,73.409950640728,1.62961670616559e-08,0.00389204549684929,29,2,0,0,1844,91403,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10723687","10723687","FM",0,0,32,0,0,16,0.383333333333333,0,4221.94908470212,1.62600182443909e-08,0.00398525110871369,32,0,0,0,1844,90241,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10724686","10724686","FM",0,1,40,0,0,19,0.321637426900585,1,7814.32245451836,1.62780819907131e-08,0.00407868984648043,40,0,1,1,1844,90814,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10724951","10724951","FM",0,0,36,0,0,5,0.3,0,31735.81,1.626e-08,0.003766846,36,0,0,0,198,91786,1,24060,1.263157895,1.473684211,1.947368421,511,511,2
"10725265","10725265","FM",0,0,28,0,0,25,0.556666666666667,0,11507.9649905053,1.62963072812145e-08,0.00426512968070424,28,0,0,0,1844,91020,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10725572","10725572","FM",0,0,7,0,0,5,0.2,0,46969.0634811544,3.16371542373436e-09,2.75185889995664e-05,7,0,0,0,1844,91405,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10726056","10726056","GP",0,0,28,0,0,29,0.285714285714286,0,10061.2645514679,1.62961872446255e-08,0.00424527468929127,28,0,0,0,1844,90804,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10726326","10726326","FM",0,0,63,0,0,10,0.0444444444444444,1,37556.6984884965,3.16439446636391e-09,0.000104095822302851,59,0,0,0,1844,90403,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10727222","10727222","FM",0,0,6,0,0,4,0.5,0,5.66212135379315,1.62780645023189e-08,0.0037745118917417,6,0,0,0,1844,90815,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10727523","10727523","FM",0,0,19,0,0,26,0.409230769230769,0,34933.9591944056,1.62780729815356e-08,0.0041093904631905,19,0,0,0,1844,91364,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10727558","10727558","FM",5,9,84,0,0,9,0.222222222222222,0,69080.7870744669,1.63143000811245e-08,0.00383967144181854,84,5,9,9,1844,90027,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10727581","10727581","FM",2,5,159,0,0,49,0.166666666666667,0,36044.45716842,1.64240756780676e-08,0.00548141401598036,159,2,5,5,1844,90803,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10727618","10727618","IM",0,2,101,0,0,36,0.228571428571429,0,9015.03366807373,1.63507310289213e-08,0.00446237275223879,101,0,2,2,1844,91367,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10727945","10727945","FM",0,0,64,0,0,21,0.142857142857143,0,83563.1684161995,1.6260014542957e-08,0.0039675380970283,64,0,0,0,1844,91024,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10727956","10727956","FM",0,0,19,0,0,11,0.418181818181818,0,17072.0241343851,1.62600243253216e-08,0.00391495893664491,19,0,0,0,1844,90670,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10727976","10727976","FM",0,0,7,0,0,9,0.666666666666667,0,36.8868819485962,1.64240468148403e-08,0.00396016827395892,7,0,0,0,1844,90023,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10728437","10728437","FM",0,0,37,0,0,35,0.838655462184874,0,1407.82104151714,1.63873274633599e-08,0.00497269422640602,37,0,0,0,198,91737,1,24060,1.263157895,1.473684211,1.947368421,511,511,2
"10728525","10728525","FM",0,0,2,0,0,14,0.978021978021978,0,0.0395962732919255,3.61198301371076e-09,0.000608548960872441,2,0,0,0,198,91730,1,24060,1.263157895,1.473684211,1.947368421,511,511,2
"10729457","10729457","FM",0,0,10,0,0,10,0.311111111111111,0,28316.4309636628,3.74199579615211e-09,0.000198298152138047,10,0,0,0,198,91730,1,24060,1.263157895,1.473684211,1.947368421,511,511,2
"10729690","10729690","GPM",0,1,84,0,0,17,0.316176470588235,0,20177.9341124553,1.6278082520665e-08,0.00414553460713723,84,0,1,1,1844,90803,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10730047","10730047","GP",1,0,14,0,0,10,0.8,0,13.4622062333824,3.97327265308956e-09,0.000283777741118417,14,1,0,0,1844,90807,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10730887","10730887","FM",0,0,36,0,0,8,0.1071429,0,43995.96,4.262121e-09,0.0002443922,0,0,0,0,1844,90723,1,251521,1.138461538,1.4,2.123076923,247,247,2
