airID,airline,airlinealias,IATA,ICAO,callsign,country,active
-1,Unknown,\N,-,N/A,\N,\N,Y
1,Private flight,\N,-,N/A,NA,NA,Y
2,135 Airways,\N,NA,GNL,GENERAL,United States,N
3,1Time Airline,\N,1T,RNX,NEXTIME,South Africa,Y
4,2 Sqn No 1 Elementary Flying Training School,\N,NA,WYT,NA,United Kingdom,N
5,213 Flight Unit,\N,NA,TFU,NA,Russia,N
6,223 Flight Unit State Airline,\N,NA,CHD,CHKALOVSK-AVIA,Russia,N
7,224th Flight Unit,\N,NA,TTF,CARGO UNIT,Russia,N
8,247 Jet Ltd,\N,NA,TWF,CLOUD RUNNER,United Kingdom,N
9,3D Aviation,\N,NA,SEC,SECUREX,United States,N
10,40-Mile Air,\N,Q5,MLA,MILE-AIR,United States,Y
11,4D Air,\N,NA,QRT,QUARTET,Thailand,N
12,611897 Alberta Limited,\N,NA,THD,DONUT,Canada,N
13,Ansett Australia,\N,AN,AAA,ANSETT,Australia,Y
14,Abacus International,\N,1B,NA,NA,Singapore,Y
15,Abelag Aviation,\N,W9,AAB,ABG,Belgium,N
16,Army Air Corps,\N,NA,AAC,ARMYAIR,United Kingdom,N
17,Aero Aviation Centre Ltd.,\N,NA,AAD,SUNRISE,Canada,N
18,Aero Servicios Ejecutivos Internacionales,\N,NA,SII,ASEISA,Mexico,N
19,Aero Biniza,\N,NA,BZS,BINIZA,Mexico,N
20,Aero Albatros,\N,NA,ABM,ALBATROS ESPANA,Spain,N
21,Aigle Azur,\N,ZI,AAF,AIGLE AZUR,France,Y
22,Aloha Airlines,\N,AQ,AAH,ALOHA,United States,Y
23,Alaska Island Air,\N,NA,AAK,ALASKA ISLAND,United States,N
24,American Airlines,\N,AA,AAL,AMERICAN,United States,Y
25,Aviation Management Corporation,\N,NA,AAM,AM CORP,United States,N
26,Atlantis Airlines (USA),\N,NA,AAO,ATLANTIS AIR,United States,N
27,Aerovista Airlines,\N,NA,AAP,AEROVISTA GROUP,United Arab Emirates,N
28,Asiana Airlines,\N,OZ,AAR,ASIANA,Republic of Korea,Y
29,Askari Aviation,\N,4K,AAS,AL-AAS,Pakistan,Y
30,Australia Asia Airlines,\N,NA,AAU,AUSTASIA,Australia,N
31,Astro Air International,\N,NA,AAV,ASTRO-PHIL,United States,N
32,Afriqiyah Airways,\N,8U,AAW,AFRIQIYAH,Libya,Y
33,Afrinat International Airlines,\N,Q9,AFU,NA,Gambia,N
34,Afric'air Express,\N,NA,AAX,AFREX,Ivory Coast,N
35,Allegiant Air,\N,G4,AAY,ALLEGIANT,United States,Y
36,Angus Aviation,\N,NA,AAZ,ANGUS,Canada,N
37,Artem-Avia,\N,NA,ABA,ARTEM-AVIA,Ukraine,N
38,African Business and Transportations,\N,NA,ABB,AFRICAN BUSINESS-,Democratic Republic of the Congo,N
39,Aban Air,\N,K5,ABE,ABAN,Iran,n
40,Aerial Oy,\N,NA,ABF,SKYWINGS,Finland,N
41,Abakan-Avia,\N,NA,ABG,ABAKAN-AVIA,Russia,N
42,ABSA - Aerolinhas Brasileiras,\N,M3,TUS,ABSA Cargo,Brazil,Y
43,Abaet,\N,NA,ABJ,Abaet,Brazil,N
44,Alberta Citylink,\N,NA,ABK,ALBERTA CITYLINK,Canada,N
45,APSA Colombia,\N,NA,ABO,AEROEXPRESO,Colombia,N
46,Aerovias Bueno,\N,NA,ABU,AEROBUENO,Colombia,N
47,Aerocenter,\N,NA,ACR,Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,N
48,Antrak Air,\N,04,ABV,ANTRAK,Ghana,N
49,Airborne Express,\N,GB,ABX,ABEX,United States,N
50,ABX Air,\N,GB,ABX,ABEX,United States,N
51,ATA Brasil,\N,NA,ABZ,ATA-BRAZIL,Brazil,N
52,Avcard Services,\N,NA,ACC,NA,United Kingdom,N
53,Academy Airlines,\N,NA,ACD,ACADEMY,United States,N
54,Aero Comondu,\N,NA,ACO,AERO COMONDU,Mexico,N
55,Astral Aviation,\N,8V,ACP,ASTRAL CARGO,Kenya,Y
56,Air Cess,\N,NA,ACS,NA,Liberia,N
57,Air Aurora,\N,NA,AAI,BOREALIS,United States,N
58,Air Cargo Transportation System,\N,NA,ACU,AFRISPIRIT,Kenya,N
59,Air Charter Service,\N,NA,ACV,NA,United Kingdom,N
60,Aero Asia International,\N,E4,RSO,AERO ASIA,Pakistan,N
61,Air Charters,\N,NA,ACX,PARAIR,Canada,N
62,Air Togo,\N,YT,TGA,AIR TOGO,Togo,N
63,Air Somalia,\N,NA,RSM,AIR SOMALIA,Somali Republic,N
64,Atlas Cargo Lines,\N,NA,ACY,ATLAS CARGOLINES,Morocco,N
65,Airservices Australia,\N,NA,ADA,AUSCAL,Australia,N
66,Advance Leasing Company,\N,4G,NA,NA,United States,N
67,Aztec Worldwide Airlines,\N,7A,NA,NA,United States,N
68,Air Tindi,\N,8T,NA,NA,Canadian Territories,Y
69,Antonov Airlines,\N,NA,ADB,ANTONOV BUREAU,Ukraine,N
70,Air Atlantic Dominicana,\N,NA,ADC,ATLAN-DOMINICAN,Dominican Republic,N
71,Advanced Air Co.,\N,NA,ADD,NA,Japan,N
72,Ada Air,\N,ZY,ADE,ADA AIR,Albania,Y
73,Aerea Flying Training Organization,\N,NA,ADG,AEREA TRAINING,Spain,N
74,Audeli Air,\N,NA,ADI,AUDELI,Spain,N
75,Abicar,\N,NA,ADJ,ABICAR,Ivory Coast,N
76,ADC Airlines,\N,Z7,ADK,ADCO,Nigeria,N
77,Aero Dynamics,\N,NA,ADL,COTSWOLD,United Kingdom,N
78,Aerolineas Dominicanas,\N,NA,ADM,DOMINAIR,Dominican Republic,N
79,Aerodienst GmbH,\N,NA,ADN,AERODIENST,Germany,N
80,Aerodiplomatic,\N,NA,ADP,AERODIPLOMATIC,Mexico,N
81,Aerodyne,\N,NA,ADY,AERODYNE,United States,N
82,Avion Taxi,\N,NA,ADQ,AIR DATA,Canada,N
83,Adria Airways,\N,JP,ADR,ADRIA,Slovenia,Y
84,Aviones de Sonora,\N,NA,ADS,SONORAV,Mexico,N
85,Air Dorval,\N,NA,ADT,AIR DORVAL,Canada,N
86,Airdeal Oy,\N,NA,ADU,AIRDEAL,Finland,N
87,Advance Air Charters,\N,NA,ADV,ADVANCE,Canada,N
88,Air Andaman,\N,NA,ADW,AIR ANDAMAN,Thailand,N
89,Anderson Aviation,\N,NA,ADX,ANDAX,United States,N
90,Air Europa,\N,UX,AEA,EUROPA,Spain,Y
91,Air Southwest Ltd.,\N,NA,ASW,AIRSOUTHWEST,Canada,N
92,Air Special,\N,NA,ASX,AIRSPEC,Czech Republic,N
93,Aero Benin,\N,EM,AEB,AEROBEN,Benin,Y
94,Aerocesar,\N,NA,AEC,Aerovias Del Cesar,AEROCESAR,N
95,Aerotrans Airlines,\N,NA,AED,NA,Russia,N
96,Aegean Airlines,\N,A3,AEE,AEGEAN,Greece,Y
97,Aerofumigaciones Sam,\N,NA,AEG,FUMIGACIONES SAM,Chile,N
98,Aeroexpreso Interamericano,\N,NA,AEI,INTERAM,Colombia,N
99,Air Express,\N,NA,AEJ,KHAKI EXPRESS,Tanzania,N
100,Aerocon,\N,NA,AEK,AEROCON,Bolivia,N
101,Aero Madrid,\N,NA,AEM,AEROMADRID,Spain,N
102,Aeroenlaces Nacionales,\N,NA,AEN,NA,Mexico,N
103,Aeroservicios Ejecutivos Del Occidente,\N,NA,AEO,AERO OCCIDENTE,Mexico,N
104,Aerotec,\N,NA,AEP,AEROTEC,Spain,N
105,Air Atlantique,\N,KI,AAG,ATLANTIC,United Kingdom,N
106,Air Europe,\N,PE,AEL,AIR EUROPE,Italy,Y
107,Air Alma,\N,NA,AAJ,AIR ALMA,Canada,N
108,Air Express,\N,NA,AEQ,LUNA,Sweden,N
109,Alaska Central Express,\N,KO,AER,ACE AIR,United States,Y
110,ACES Colombia,\N,NA,AES,ACES,Colombia,Y
111,Aeronautical Radio of Thailand,\N,NA,AET,AEROTHAI,Thailand,N
112,Astraeus,\N,5W,AEU,FLYSTAR,United Kingdom,Y
113,Aeroventas,\N,NA,AEV,AEROVENTAS,Mexico,N
114,Aerosvit Airlines,\N,VV,AEW,AEROSVIT,Ukraine,Y
115,Airway Express,\N,NA,AEX,AVCO,United States,N
116,Air Italy,\N,I9,AEY,AIR ITALY,Italy,Y
117,Aerial Transit Company,\N,NA,AEZ,AERIAL TRANZ,United States,N
118,Alfa Air,\N,NA,AFA,BLUE ALFA,Czech Republic,N
119,American Falcon,\N,WK,AFB,AMERICAN FALCON,Argentina,N
120,Alliance Airlines,\N,QQ,UTY,UNITY,Australia,Y
121,Air Universal,\N,NA,UVS,UNI-LEONE,Sierra Leone,N
122,Auvia Air,\N,NA,UVT,AUVIA,Indonesia,N
123,African West Air,\N,NA,AFC,AFRICAN WEST,Senegal,N
124,Airfast Indonesia,\N,NA,AFE,AIRFAST,Indonesia,N
125,Ariana Afghan Airlines,\N,FG,AFG,ARIANA,Afghanistan,Y
126,Air Fecteau,\N,NA,AFH,FECTO,Canada,N
127,Africaone,\N,NA,AFI,AFRICAWORLD,Uganda,N
128,Alliance,\N,NA,AFJ,JAMBO,Uganda,N
129,Africa Air Links,\N,NA,AFK,AFRICA LINKS,Sierra Leone,N
130,Aeroflot Russian Airlines,\N,SU,AFL,AEROFLOT,Russia,Y
131,Aero Empresa Mexicana,\N,NA,AFO,AERO EMPRESA,Mexico,N
132,Air Bosna,\N,JA,BON,AIR BOSNA,Bosnia and Herzegovina,Y
133,Air Bravo,\N,NA,BRF,AIR BRAVO,Uganda,N
134,Air Brasd'or,\N,NA,BRL,BRASD'OR,Canada,N
135,Air 500,\N,NA,BRM,BOOMERANG,Canada,N
136,Alba Servizi Aerotrasporti,\N,NA,AFQ,ALBA,Italy,N
137,Air France,\N,AF,AFR,AIRFRANS,France,Y
138,Air Partner,\N,NA,ACG,AIR PARTNER,United Kingdom,N
139,Air Caledonie International,\N,SB,ACI,AIRCALIN,France,Y
140,Air Caledonia,\N,NA,ACM,WEST CAL,Canada,N
141,Air Guam,\N,NA,AGM,AIR GUAM,United States,N
142,Air Gabon,\N,GN,AGN,GOLF NOVEMBER,Gabon,N
143,Air Data,\N,NA,AFS,NA,United Kingdom,N
144,Air Afrique Vacancies,\N,NA,AFV,AFRIQUE VACANCE,Ivory Coast,N
145,Air Cargo America,\N,NA,MVM,PEGASUS,United States,N
146,Air Salone,\N,2O,NA,NA,Sierra Leone,Y
147,Air-Angol,\N,NA,NGO,AIR ANGOL,Angola,N
148,Air Nigeria,\N,NA,NGP,REGAL EAGLE,Nigeria,N
149,Air Cargo Carriers,\N,2Q,SNC,NIGHT CARGO,United States,Y
150,Air Samarkand,\N,NA,SND,ARSAM,Uzbekistan,N
151,Air Senegal International,\N,V7,SNG,AIR SENEGAL,Senegal,N
152,Air Sandy,\N,NA,SNY,AIR SANDY,Canada,N
153,Air Namibia,\N,SW,NMB,NAMIBIA,Namibia,Y
154,Air Intersalonika,\N,NA,NSK,INTERSALONIKA,Greece,N
155,Air Anatolia,\N,NA,NTL,AIR ANATOLIA,Turkey,N
156,Air Saigon,\N,NA,SGA,AIR SAIGON,Vietnam,N
157,Afrique Regional Airways,\N,NA,AFW,AFRAIR,Ivory Coast,N
158,Airfreight Express,\N,NA,AFX,NA,United Kingdom,N
159,Africa Chartered Services,\N,NA,AFY,AFRICA CHARTERED,Nigeria,N
160,Africa Freight Services,\N,NA,AFZ,AFREIGHT,Zambia,N
